Method,Path,Type,Description,Response Type
GET,/soa/{soa_id}/reorder_audit/export/xlsx,API,Export reorder audit XLSX,Binary (XLSX)
GET,/ui/soa/{soa_id}/audits,UI,View audits page,HTML
GET,/concepts/status,API,Get concepts cache status,JSON
GET,/ui/concepts,UI,List biomedical concepts,HTML
GET,/ui/concepts/{code},UI,View concept detail,HTML
POST,/ui/soa/{soa_id}/concepts_refresh,UI,Force refresh concepts cache,HTML
GET,/ui/concept_categories,UI,List concept categories,HTML
GET,/ui/concept_categories/view,UI,View concepts by category,HTML
GET,/sdtm/specializations/status,API,Get SDTM specializations status,JSON
GET,/ui/sdtm/specializations/status,UI,View SDTM status page,HTML
POST,/ui/sdtm/specializations/refresh,UI,Refresh SDTM specializations,HTML
GET,/ui/sdtm/specializations,UI,List SDTM specializations,HTML
GET,/ui/sdtm/specializations/{idx},UI,View SDTM specialization detail,HTML
POST,/admin/load_ddf_terminology,Admin,Load DDF terminology from file,JSON
GET,/ddf/terminology,API,Get DDF terminology entries,JSON
GET,/ui/ddf/terminology,UI,View DDF terminology page,HTML
POST,/ui/ddf/terminology/upload,UI,Upload DDF terminology spreadsheet,HTML
GET,/ddf/terminology/audit,API,Get DDF terminology audit,JSON
GET,/ddf/terminology/audit/export.csv,API,Export DDF audit CSV,Binary (CSV)
GET,/ddf/terminology/audit/export.json,API,Export DDF audit JSON,JSON
GET,/ui/ddf/terminology/audit,UI,View DDF terminology audit page,HTML
POST,/admin/load_protocol_terminology,Admin,Load protocol terminology from file,JSON
GET,/protocol/terminology,API,Get protocol terminology entries,JSON
GET,/ui/protocol/terminology,UI,View protocol terminology page,HTML
POST,/ui/protocol/terminology/upload,UI,Upload protocol terminology spreadsheet,HTML
GET,/protocol/terminology/audit,API,Get protocol terminology audit,JSON
GET,/protocol/terminology/audit/export.csv,API,Export protocol audit CSV,Binary (CSV)
GET,/protocol/terminology/audit/export.json,API,Export protocol audit JSON,JSON
GET,/ui/protocol/terminology/audit,UI,View protocol terminology audit page,HTML
